epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5852.97,2.22521,3.44058,2.16043,0.29984,0.09834,0.01939,0.00527,2.74891,4.10233,2.41773,0.000415749,0.000415749,0.000415749
2,13279.4,2.18414,2.97988,2.13834,0.37458,0.13137,0.08485,0.02528,2.4631,3.16902,2.38316,0.000815934,0.000815934,0.000815934
3,80517.8,2.18012,2.90289,2.14133,0.10681,0.1334,0.06695,0.02062,2.50063,3.2412,2.2721,0.00119962,0.00119962,0.00119962
4,89844.8,2.13953,2.80642,2.10985,0.1592,0.1274,0.07557,0.02326,2.4387,3.07161,2.33538,0.00117575,0.00117575,0.00117575
5,95925.4,2.094,2.74416,2.07278,0.13324,0.13232,0.08185,0.02881,2.33196,3.01364,2.23272,0.001151,0.001151,0.001151
6,102140,2.05954,2.66578,2.04481,0.21179,0.16599,0.11939,0.0411,2.30263,2.87095,2.16113,0.00112625,0.00112625,0.00112625
7,169670,2.04407,2.63274,2.02776,0.17016,0.18865,0.15324,0.05427,2.27023,2.79049,2.17635,0.0011015,0.0011015,0.0011015
8,176218,2.03063,2.60345,2.00951,0.17693,0.18071,0.13448,0.04792,2.25046,2.81993,2.16408,0.00107675,0.00107675,0.00107675
9,182157,2.02223,2.56643,1.99543,0.22071,0.18053,0.15064,0.05728,2.24615,2.76971,2.15421,0.001052,0.001052,0.001052
10,187857,2.01441,2.54171,1.97944,0.21934,0.19172,0.15508,0.05724,2.24935,2.67874,2.1181,0.00102725,0.00102725,0.00102725
11,201101,1.99373,2.50208,1.95598,0.26401,0.24166,0.17267,0.05983,2.23534,2.62751,2.12468,0.0010025,0.0010025,0.0010025
12,206773,1.98604,2.48338,1.94531,0.19325,0.22754,0.15748,0.05534,2.21818,2.72827,2.05677,0.00097775,0.00097775,0.00097775
13,211872,1.97838,2.46929,1.93859,0.31323,0.22007,0.19113,0.07012,2.19559,2.56226,2.07569,0.000953,0.000953,0.000953
14,217027,1.96779,2.45247,1.93018,0.27099,0.22526,0.18676,0.07007,2.18689,2.60871,2.04347,0.00092825,0.00092825,0.00092825
15,254840,1.94909,2.42691,1.92171,0.31653,0.25709,0.21267,0.07615,2.1676,2.55181,2.0341,0.0009035,0.0009035,0.0009035
16,264236,1.94731,2.40754,1.90549,0.28831,0.25769,0.21099,0.0786,2.16444,2.49883,2.0461,0.00087875,0.00087875,0.00087875
17,272503,1.94607,2.39789,1.91207,0.35738,0.26603,0.22555,0.08454,2.15175,2.45506,2.02305,0.000854,0.000854,0.000854
18,374464,1.93715,2.39014,1.91095,0.31814,0.25959,0.22632,0.08772,2.1352,2.44887,2.02236,0.00082925,0.00082925,0.00082925
19,379760,1.91609,2.36111,1.89539,0.29762,0.24584,0.21244,0.08011,2.15457,2.46017,2.01305,0.0008045,0.0008045,0.0008045
20,384818,1.92066,2.34331,1.8888,0.31652,0.28252,0.24632,0.09514,2.1258,2.40727,1.9881,0.00077975,0.00077975,0.00077975
21,389930,1.89525,2.33157,1.87165,0.33918,0.2696,0.24331,0.09509,2.10435,2.37892,1.98625,0.000755,0.000755,0.000755
22,397747,1.89417,2.32218,1.87368,0.32751,0.30088,0.25507,0.09769,2.1243,2.34628,1.97443,0.00073025,0.00073025,0.00073025
